scan,mode,moving_controls,accepted_controls,strict_moving_coverage,counterfactual_segment_restarts,tank_min_j,tank_end_j,weak_side_mean_m_s,omega_error_p95_rad_s,pair_residual_p95_m_s,alpha_mean,cost_mean_s,cost_p95_s,deferrals,publication_rejections,old_candidate_final_omega_p95_rad_s
jiaqi/LH_Per_S_PtD,confidence_angular_v1,4809,4809,1.0,0,0.1,0.1064528109241557,0.001125399917024156,5.1480476773770306e-11,2.1127982176294397e-13,0.914739729708656,0.0024092975273078947,0.0025006387993926184,0,,
jiaqi/LH_Per_S_PtD,confidence_cop_v1,4809,4809,1.0,0,0.1,0.10646239261301131,0.0010658301866456141,5.1480476773770306e-11,2.4423028161704663e-13,0.914739729708656,0.0024082954266989084,0.0024995632003992794,0,,
jiaqi/RH_Per_C_DtP,recorded_old,3949,3949,,0,0.09530090880282474,0.1024463308334033,-0.00017731651532847722,,,0.921553982566117,0.0027144420425963046,0.0036245129987946705,0,0,0.06422536253676352
jiaqi/RH_Per_C_DtP,confidence_angular_v1,3949,3949,1.0,0,0.1,0.11414782354610221,-0.000883263582379475,4.815242311203357e-11,2.0703807591948559e-13,0.9732736807018658,0.0024335010493602596,0.002510727402113844,0,,
jiaqi/RH_Per_C_DtP,confidence_cop_v1,3949,3949,1.0,0,0.1,0.1141371621679629,-0.0008811071534858546,4.815242311203357e-11,2.1330647806134535e-13,0.9732736807018658,0.002432271801937357,0.0025103315987507814,0,,
jiaqi/RH_Per_C_PtD,recorded_old,4068,4067,,0,0.1,0.11121093505614303,0.0013817363356629917,,,0.861137930652687,0.0028519149191277844,0.003738922604679828,0,1,0.004595830409567101
jiaqi/RH_Per_C_PtD,confidence_angular_v1,4068,4068,1.0,0,0.1,0.11738021433079546,0.001263321764205034,7.17900776697847e-11,3.417821256047887e-13,0.9028612203188215,0.002451361472277253,0.0025227309513866205,0,,
jiaqi/RH_Per_C_PtD,confidence_cop_v1,4068,4068,1.0,0,0.1,0.1171850295872413,0.0012766598367287085,7.17900776697847e-11,3.2144011863678577e-13,0.9028612203188217,0.002450664160008317,0.0025218790480721507,0,,
jiaqi/RH_Per_L_DtP,recorded_old,3906,3904,,0,0.09957318090119889,0.100729144871028,-0.00020754080650358604,,,0.9474914706319476,0.0024247428499328595,0.0032873324998945463,0,1,0.013484690485118248
jiaqi/RH_Per_L_DtP,confidence_angular_v1,3906,3906,1.0,0,0.1,0.11092858504688587,-0.0005868996152749031,5.4875578981859654e-11,7.191016987602439e-14,0.9985462277731219,0.0023873165351293024,0.002468654500262346,0,,
jiaqi/RH_Per_L_DtP,confidence_cop_v1,3906,3906,1.0,0,0.1,0.11092464821250689,-0.0005844754647224808,5.4875578981859654e-11,7.194647318701992e-14,0.9985462277731219,0.00238618194288063,0.0024634434976178454,0,,
jiaqi/RH_Per_L_PtD,recorded_old,3755,3754,,0,0.1,0.10993529367402385,0.0013489776534463746,,,0.9349241668232812,0.0026820055688170225,0.003563443500752328,0,1,0.002963550459364094
jiaqi/RH_Per_L_PtD,confidence_angular_v1,3755,3755,1.0,0,0.1,0.11218905574821418,0.0013353923472663254,6.819577511745813e-11,3.3331102634870356e-13,0.9670306526217628,0.002406818926436768,0.0024781992942735087,0,,
jiaqi/RH_Per_L_PtD,confidence_cop_v1,3755,3755,1.0,0,0.1,0.11212459303725555,0.0013439925044863234,6.819577511745813e-11,3.2811503105926376e-13,0.9670306526217628,0.0024035951784046458,0.0024756667997280603,0,,
jiaqi/RH_Per_S_DtP,recorded_old,4335,4334,,0,0.08706635884317405,0.08971550462709373,-1.4122043929310115e-05,,,0.9093903283454435,0.002706311917622765,0.003607296694826801,0,1,0.19937112668582258
jiaqi/RH_Per_S_DtP,confidence_angular_v1,4335,4335,1.0,0,0.1,0.11284830774170328,-0.0006501766500728522,5.484695740111401e-11,1.6294238094211125e-13,0.9580466217323127,0.0023893747101867524,0.0024762406028457917,0,,
